country,founded,id,industry,linkedin_url,locality,name,region,size,website
sri lanka,2022,udl-lanka,,linkedin.com/company/udl-lanka,,udl lanka,western,10-Jan,udllanka.business.site
sri lanka,2022,wise-soft-lab,,linkedin.com/company/wise-soft-lab,nugegoda,wise soft lab,western,10-Jan,
sri lanka,2022,bitzquad,,linkedin.com/company/bitzquad,colombo,bitzquad,western,10-Jan,bitzquad.com
sri lanka,2022,adelante-holdings-private-limited,,linkedin.com/company/adelante-holdings-private-limited,colombo,adelante holdings (private) limited,western,10-Jan,
sri lanka,2022,flexihours-lk,staffing and recruiting,linkedin.com/company/flexihours-lk,colombo,flexihours.lk,western,10-Jan,
sri lanka,2022,dgtlsrilanka,,linkedin.com/company/dgtlsrilanka,colombo,dgtl sri lanka,western,10-Jan,linktr.ee/dgtlsrilanka
sri lanka,2022,d-m-s-pvt-ltd,,linkedin.com/company/d-m-s-pvt-ltd,colombo,d m s (pvt) ltd,western,Nov-50,dmspvtltd.com
sri lanka,2022,3eat,,linkedin.com/company/3eat,wattala,3reat & co.,western,Nov-50,3reat.com
sri lanka,2022,h-e-l-l-o-d-o-c-t-o-r,,linkedin.com/company/h-e-l-l-o-d-o-c-t-o-r,colombo,hello doctor,western,10-Jan,hellodoctor.lk
sri lanka,2022,geslaacademy,higher education,linkedin.com/company/geslaacademy,colombo,gesla academy,western,10-Jan,bizbooksglobal.com
sri lanka,2022,advanced-level-classes,,linkedin.com/company/advanced-level-classes,colombo,advanced level classes,western,Nov-50,
sri lanka,2022,eye-for-growh,,linkedin.com/company/eye-for-growh,colombo,eye for growth (pvt) ltd.,western,10-Jan,
sri lanka,2022,softsolab,,linkedin.com/company/softsolab,,softsolab,,10-Jan,
sri lanka,2022,designbynimesh,graphic design,linkedin.com/company/designbynimesh,chilan,design by nimesh,north western,10-Jan,
sri lanka,2022,lion-network,,linkedin.com/company/lion-network,,lion network,,10-Jan,
sri lanka,2022,party365-lk,,linkedin.com/company/party365-lk,piliyandala,party365.lk,western,10-Jan,party360lk.wixsite.com/my-site
sri lanka,2022,ceylon-hunt,,linkedin.com/company/ceylon-hunt,,ceylon hunt,western,10-Jan,
sri lanka,2022,clean-codesolutions,,linkedin.com/company/clean-codesolutions,,clean code solutions,western,10-Jan,
sri lanka,2022,kiddoz-by-strides,,linkedin.com/company/kiddoz-by-strides,,kiddoz by strides tech solutions (pvt) ltd.,,10-Jan,kiddoz.lk
sri lanka,2022,suwapathiayur,,linkedin.com/company/suwapathiayur,pallebedda,suwapathi ayurveda - medical & wellness,sabaragamuwa,10-Jan,
sri lanka,2022,my-little-angel-collections,retail,linkedin.com/company/my-little-angel-collections,colombo,my little angel collections,western,10-Jan,facebook.com/mylittleangelcollections
sri lanka,2022,tremenzo,,linkedin.com/company/tremenzo,,tremenzo,western,10-Jan,
sri lanka,2022,scopecreativeagency,,linkedin.com/company/scopecreativeagency,colombo,scope creative,western,10-Jan,
sri lanka,2022,goodmanresearch,,linkedin.com/company/goodmanresearch,colombo,goodman research,western,Nov-50,
sri lanka,2022,demari-vi,,linkedin.com/company/demari-vi,colombo,demari vi,western,10-Jan,demarivi.com
sri lanka,2022,nimsi,higher education,linkedin.com/company/nimsi,,nimsi,,10-Jan,nimsigroup.com
sri lanka,2022,chey-organics-private-limited,,linkedin.com/company/chey-organics-private-limited,monaragala,chey organics (private)limited,uva,10-Jan,cheyorganics.com
sri lanka,2022,acumenholdings,construction,linkedin.com/company/acumenholdings,negombo,acumen holdings pvt ltd,western,51-200,
sri lanka,2022,economics-goal,,linkedin.com/company/economics-goal,,economics goal,western,10-Jan,economicsgoal.blogspot.com
sri lanka,2022,acrbuilders,construction,linkedin.com/company/acrbuilders,,acr builders,,10-Jan,facebook.com/acrbuilders22
sri lanka,2022,thepathsolutions,higher education,linkedin.com/company/thepathsolutions,colombo,the path solutions,western,10-Jan,thepathsolutions.com
sri lanka,2022,techie-archer,higher education,linkedin.com/company/techie-archer,colombo,techie archer,western,10-Jan,techiearcher.web.app
sri lanka,2022,flexycodelk,,linkedin.com/company/flexycodelk,colombo,flexycode,western,Nov-50,flexycode.net
sri lanka,2022,electropluslk,retail,linkedin.com/company/electropluslk,nugegoda,electro plus,western,10-Jan,electroplus.lk
sri lanka,2022,thereverielife,hospitality,linkedin.com/company/thereverielife,colombo,reverie,western,51-200,
sri lanka,2022,vivekananda-preschool,higher education,linkedin.com/company/vivekananda-preschool,,vivekananda preschool,,10-Jan,vivekanandapreschool.com
sri lanka,2022,amazelygifts,events services,linkedin.com/company/amazelygifts,,amazely gifts,,10-Jan,facebook.com/amazelyeventplanner
sri lanka,2022,fact-retrieve,higher education,linkedin.com/company/fact-retrieve,colombo,fact retrieve,western,10-Jan,
sri lanka,2022,epetic-designers-solutions,,linkedin.com/company/epetic-designers-solutions,kegalla,epetic designers & solutions,sabaragamuwa,10-Jan,
sri lanka,2022,evenzaphoto,photography,linkedin.com/company/evenzaphoto,colombo,evenza,western,10-Jan,
sri lanka,2022,newmetrix,accounting,linkedin.com/company/newmetrix,colombo,statix,western,10-Jan,
sri lanka,2022,featherssolutions,,linkedin.com/company/featherssolutions,,feathers solutions,,10-Jan,
sri lanka,2022,embed-workshop,,linkedin.com/company/embed-workshop,colombo,embed workshop,western,10-Jan,
sri lanka,2022,inidi-leisure,hospitality,linkedin.com/company/inidi-leisure,,inidi leisure,,Nov-50,inidileisure.com
sri lanka,2022,remedy-consultants-pvt-ltd,,linkedin.com/company/remedy-consultants-pvt-ltd,colombo,remedy consultants (pvt) ltd,western,10-Jan,remedygroups.com
sri lanka,2022,loyares-accounting-services,accounting,linkedin.com/company/loyares-accounting-services,,loyares accounting services,western,10-Jan,
sri lanka,2022,hospitality-classification-consultancy-pvt-ltd-sri-lanka,hospitality,linkedin.com/company/hospitality-classification-consultancy-pvt-ltd-sri-lanka,colombo,hospitality classification consultancy (pvt) ltd sri lanka,western,10-Jan,facebook.com/hospitalityclassificationconsultancy
sri lanka,2022,pure-cinnamon-exports-pvt-ltd,,linkedin.com/company/pure-cinnamon-exports-pvt-ltd,batapola,pure cinnamon exports (pvt) ltd,southern,51-200,purecinnamon.com
sri lanka,2022,frugal-planet,,linkedin.com/company/frugal-planet,puttalam,frugal planet,north western,10-Jan,
sri lanka,2022,lensdcreative,photography,linkedin.com/company/lensdcreative,,lens'd creative | graduation & award ceremony photography,,Nov-50,
sri lanka,2022,expernetic,,linkedin.com/company/expernetic,colombo,expernetic,western,Nov-50,expernetic.com
sri lanka,2022,triwinplace,staffing and recruiting,linkedin.com/company/triwinplace,kolonnawa,triwin placement & training institute,western,10-Jan,triwinplace.com
